         20514661 function calls (20358712 primitive calls) in 4.648 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _osx_support.py:86(_get_system_version)
        1    0.000    0.000    0.002    0.002 _parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:1371(_tzparser)
        1    0.000    0.000    0.000    0.000 _parser.py:1373(_result)
        1    0.000    0.000    0.000    0.000 _parser.py:1378(_attr)
        1    0.000    0.000    0.000    0.000 _parser.py:1589(ParserError)
        1    0.000    0.000    0.000    0.000 _parser.py:1608(UnknownTimezoneWarning)
        1    0.000    0.000    0.000    0.000 _parser.py:219(_resultbase)
        1    0.000    0.000    0.000    0.000 _parser.py:241(parserinfo)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
        7    0.000    0.000    0.000    0.000 _parser.py:309(_convert)
        1    0.000    0.000    0.000    0.000 _parser.py:394(_ymd)
        1    0.000    0.000    0.000    0.000 _parser.py:568(parser)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.000    0.000 _parser.py:661(_result)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:9(Gcf)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:46(PytestTester)
       10    0.000    0.000    0.000    0.000 _pytesttester.py:76(__init__)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:11(SecondaryAxis)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.000    0.000 _structures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _structures.py:35(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 _structures.py:6(InfinityType)
        1    0.000    0.000    0.000    0.000 _sysconfigdata__darwin_darwin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _text_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tight_bbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tight_layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tqdm_pandas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _triangulation.py:8(Triangulation)
        1    0.000    0.000    0.001    0.001 _tricontour.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tricontour.py:8(TriContourSet)
        1    0.000    0.000    0.000    0.000 _trifinder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trifinder.py:27(TrapezoidMapTriFinder)
        1    0.000    0.000    0.000    0.000 _trifinder.py:7(TriFinder)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1061(_DOF_estimator_user)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1071(_DOF_estimator_geom)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1156(_DOF_estimator_min_E)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1215(_Sparse_Matrix_coo)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:15(TriInterpolator)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:232(LinearTriInterpolator)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:286(CubicTriInterpolator)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:985(_DOF_estimator)
        1    0.000    0.000    0.000    0.000 _tripcolor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _triplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trirefine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trirefine.py:12(TriRefiner)
        1    0.000    0.000    0.000    0.000 _trirefine.py:47(UniformTriRefiner)
        1    0.000    0.000    0.000    0.000 _tritools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tritools.py:11(TriAnalyzer)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:151(_set_up_aliases)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:41(<setcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:92(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:26(SupportsRead)
        1    0.000    0.000    0.001    0.001 _tzpath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tzpath.py:170(InvalidTZPathWarning)
        1    0.000    0.000    0.000    0.000 _tzpath.py:31(_parse_python_tzpath)
        1    0.000    0.000    0.001    0.001 _tzpath.py:5(reset_tzpath)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:30(<dictcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:360(_unspecified)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:367(errstate)
        5    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:441(_setdef)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:18(DeferredError)
        4    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:101(PathEntryFinder)
      156    0.000    0.000    0.003    0.000 abc.py:105(__new__)
       42    0.000    0.000    0.000    0.000 abc.py:110(register)
     1228    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
 1665/216    0.000    0.000    0.001    0.000 abc.py:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 abc.py:146(update_abstractmethods)
        1    0.000    0.000    0.000    0.000 abc.py:150(ResourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:166(InspectLoader)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        1    0.000    0.000    0.000    0.000 abc.py:219(ExecutionLoader)
        1    0.000    0.000    0.000    0.000 abc.py:256(FileLoader)
        1    0.000    0.000    0.000    0.000 abc.py:265(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:312(ResourceReader)
        1    0.000    0.000    0.000    0.000 abc.py:32(Finder)
        1    0.000    0.000    0.000    0.000 abc.py:354(Traversable)
        1    0.000    0.000    0.000    0.000 abc.py:422(TraversableResources)
        1    0.000    0.000    0.000    0.000 abc.py:64(MetaPathFinder)
       95    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 actions.py:7(OnlyOnce)
        1    0.000    0.000    0.000    0.000 analyzer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 analyzer.py:8(StateAnalyzer)
        1    0.000    0.000    0.000    0.000 anchor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anchor.py:8(Anchor)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1222(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1235(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1245(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1278(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1304(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1336(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1341(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1367(StructuredVoidFormat)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:493(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:905(FloatingFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.012    0.012 art3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:183(Line3D)
        1    0.000    0.000    0.000    0.000 art3d.py:347(Collection3D)
        1    0.000    0.000    0.000    0.000 art3d.py:372(Line3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:412(Patch3D)
        1    0.000    0.000    0.000    0.000 art3d.py:462(PathPatch3D)
        1    0.000    0.000    0.000    0.000 art3d.py:534(Patch3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:641(Path3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:76(Text3D)
        1    0.000    0.000    0.000    0.000 art3d.py:844(Poly3DCollection)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:111(_Unset)
        1    0.000    0.000    0.000    0.000 artist.py:117(Artist)
      104    0.000    0.000    0.145    0.001 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.000    0.000 artist.py:1416(ArtistInspector)
      223    0.000    0.000    0.040    0.000 artist.py:1422(__init__)
      223    0.006    0.000    0.039    0.000 artist.py:1442(get_aliases)
      223    0.007    0.000    0.012    0.000 artist.py:1453(<listcomp>)
     4252    0.006    0.000    0.081    0.000 artist.py:1470(get_valid_values)
      223    0.008    0.000    0.025    0.000 artist.py:1517(get_setters)
      437    0.000    0.000    0.007    0.000 artist.py:1536(number_of_parameters)
      954    0.000    0.000    0.006    0.000 artist.py:1542(is_alias)
     4252    0.002    0.000    0.005    0.000 artist.py:1555(aliased_name)
     4798    0.000    0.000    0.000    0.000 artist.py:1563(<genexpr>)
      105    0.000    0.000    0.148    0.001 artist.py:159(_update_set_signature_and_docstring)
      117    0.002    0.000    0.099    0.001 artist.py:1598(pprint_setters)
      105    0.001    0.000    0.005    0.000 artist.py:170(<listcomp>)
      117    0.000    0.000    0.116    0.001 artist.py:1837(kwdoc)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
        1    0.000    0.000    0.000    0.000 artist.py:88(_finalize_rasterization)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
       22    0.000    0.000    0.000    0.000 ast.py:33(parse)
   256/18    0.000    0.000    0.001    0.000 ast.py:414(visit)
   256/18    0.000    0.000    0.001    0.000 ast.py:420(generic_visit)
      132    0.000    0.000    0.000    0.000 ast.py:430(visit_Constant)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
        1    0.000    0.000    0.000    0.000 ast.py:67(_raise_malformed_node)
        1    0.000    0.000    0.000    0.000 ast.py:72(_convert_num)
        1    0.000    0.000    0.000    0.000 ast.py:76(_convert_signed_num)
     16/4    0.000    0.000    0.000    0.000 ast.py:84(_convert)
        1    0.000    0.000    0.000    0.000 asynchronous_runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asynchronous_runner.py:13(AsynchronousRunner)
        1    0.000    0.000    0.025    0.025 axes3d.py:1(<module>)
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.008    0.008 axis.py:1(<module>)
       10    0.000    0.000    0.000    0.000 axis.py:2259(_make_getset_interval)
        1    0.000    0.000    0.000    0.000 axis.py:2289(XAxis)
        1    0.000    0.000    0.000    0.000 axis.py:2527(YAxis)
        1    0.000    0.000    0.000    0.000 axis.py:32(<listcomp>)
        1    0.000    0.000    0.000    0.000 axis.py:33(<listcomp>)
        1    0.000    0.000    0.000    0.000 axis.py:405(XTick)
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
        1    0.000    0.000    0.000    0.000 axis.py:462(YTick)
        1    0.000    0.000    0.000    0.000 axis.py:523(Ticker)
        1    0.000    0.000    0.000    0.000 axis.py:564(_LazyTickList)
        2    0.000    0.000    0.000    0.000 axis.py:572(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
        1    0.000    0.000    0.005    0.005 axis3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
        1    0.000    0.000    0.000    0.000 axis3d.py:732(XAxis)
        1    0.000    0.000    0.000    0.000 axis3d.py:740(YAxis)
        1    0.000    0.000    0.000    0.000 axis3d.py:748(ZAxis)
        1    0.000    0.000    0.056    0.056 backend_bases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1090(TimerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1246(Event)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1288(DrawEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1315(ResizeEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1335(CloseEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1339(LocationEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1401(MouseButton)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1409(MouseEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1484(PickEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:153(RendererBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1533(KeyEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1671(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2574(NonGuiException)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2579(FigureManagerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2789(_Mode)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2802(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3225(ToolContainerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3380(_Backend)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3484(ShowBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:763(GraphicsContextBase)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_managers.py:13(ToolTriggerEvent)
        1    0.000    0.000    0.000    0.000 backend_managers.py:20(ToolManagerMessageEvent)
        1    0.000    0.000    0.000    0.000 backend_managers.py:32(ToolManager)
        1    0.000    0.000    0.000    0.000 backend_managers.py:4(ToolEvent)
        1    0.000    0.000    0.000    0.000 backend_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:158(ToolToggleBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:245(ToolSetCursor)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        1    0.000    0.000    0.000    0.000 backend_tools.py:304(ToolCursorPosition)
        1    0.000    0.000    0.000    0.000 backend_tools.py:332(RubberbandBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:360(ToolQuit)
        1    0.000    0.000    0.000    0.000 backend_tools.py:370(ToolQuitAll)
        1    0.000    0.000    0.000    0.000 backend_tools.py:380(ToolGrid)
        1    0.000    0.000    0.000    0.000 backend_tools.py:395(ToolMinorGrid)
        1    0.000    0.000    0.000    0.000 backend_tools.py:410(ToolFullScreen)
        1    0.000    0.000    0.000    0.000 backend_tools.py:420(AxisScaleBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:437(ToolYScale)
        1    0.000    0.000    0.000    0.000 backend_tools.py:447(ToolXScale)
        1    0.000    0.000    0.000    0.000 backend_tools.py:457(ToolViewsPositions)
        1    0.000    0.000    0.000    0.000 backend_tools.py:588(ViewsPositionsBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:600(ToolHome)
        1    0.000    0.000    0.000    0.000 backend_tools.py:609(ToolBack)
        1    0.000    0.000    0.000    0.000 backend_tools.py:618(ToolForward)
        1    0.000    0.000    0.000    0.000 backend_tools.py:627(ConfigureSubplotsBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:634(SaveFigureBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:642(ZoomPanBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:709(ToolZoom)
        1    0.000    0.000    0.000    0.000 backend_tools.py:73(ToolBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:830(ToolPan)
        1    0.000    0.000    0.000    0.000 backend_tools.py:896(ToolHelpBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:934(ToolCopyToClipboardBase)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_runner.py:1(<module>)
        1    0.000    0.000    4.026    4.026 base_runner.py:35(run)
        1    0.000    0.000    0.000    0.000 base_runner.py:6(Runner)
        1    0.000    0.000    0.113    0.113 basic_controller.py:1(<module>)
        1    0.000    0.000    0.000    0.000 basic_controller.py:30(instantiate_result)
        1    0.000    0.000    0.000    0.000 basic_controller.py:8(BasicController)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:189(BezierSegment)
        1    0.000    0.000    0.000    0.000 bezier.py:25(NonIntersectingPathException)
        1    0.000    0.000    0.000    0.000 binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binary.py:199(Binary)
        1    0.000    0.000    0.000    0.000 binary.py:66(UuidRepresentation)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:156(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:162(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:26(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:295(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:33(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:412(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:548(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:560(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:57(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:583(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:71(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:74(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:76(__init__)
        1    0.000    0.000    0.003    0.003 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 category.py:118(StrCategoryLocator)
        1    0.000    0.000    0.000    0.000 category.py:138(StrCategoryFormatter)
        1    0.000    0.000    0.000    0.000 category.py:168(UnitData)
        1    0.000    0.000    0.000    0.000 category.py:26(StrCategoryConverter)
        1    0.000    0.000    0.001    0.001 cbook.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:120(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 cbook.py:1295(<dictcomp>)
       29    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
       28    0.000    0.000    0.000    0.000 cbook.py:1851(_str_equal)
       32    0.000    0.000    0.000    0.000 cbook.py:1862(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 cbook.py:2055(_OrderedSet)
        1    0.000    0.000    0.000    0.000 cbook.py:333(silent_list)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
        1    0.000    0.000    0.000    0.000 cbook.py:570(Stack)
        1    0.000    0.000    0.000    0.000 cbook.py:677(_Stack)
        1    0.000    0.000    0.000    0.000 cbook.py:815(Grouper)
        5    0.000    0.000    0.000    0.000 cbook.py:849(__init__)
        5    0.000    0.000    0.000    0.000 cbook.py:851(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cbook.py:915(GrouperView)
        1    0.000    0.000    0.000    0.000 cbook.py:92(_StrongRef)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.007    0.007 cli.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cm.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.000    0.000 cm.py:390(ScalarMappable)
        1    0.000    0.000    0.000    0.000 cm.py:59(ColormapRegistry)
        1    0.000    0.000    0.000    0.000 cm.py:83(__init__)
      170    0.000    0.000    0.000    0.000 cm.py:89(__getitem__)
        1    0.000    0.000    0.000    0.000 cm.py:95(__iter__)
        1    0.000    0.000    0.000    0.000 code.py:1(<module>)
        1    0.000    0.000    0.000    0.000 code.py:22(Code)
        1    0.000    0.000    0.001    0.001 codec_options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codec_options.py:109(TypeRegistry)
        1    0.000    0.000    0.000    0.000 codec_options.py:136(__init__)
        1    0.000    0.000    0.000    0.000 codec_options.py:192(DatetimeConversion)
        1    0.000    0.000    0.000    0.000 codec_options.py:227(_BaseCodecOptions)
        1    0.000    0.000    0.000    0.000 codec_options.py:286(CodecOptions)
        1    0.000    0.000    0.000    0.000 codec_options.py:289(__init__)
        1    0.000    0.000    0.000    0.000 codec_options.py:374(__new__)
        1    0.000    0.000    0.000    0.000 codec_options.py:53(TypeEncoder)
        1    0.000    0.000    0.000    0.000 codec_options.py:72(TypeDecoder)
        1    0.000    0.000    0.000    0.000 codec_options.py:91(TypeCodec)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:214(setstate)
       33    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       33    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
      105    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.036    0.036 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1008(PathCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1176(PolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1275(BrokenBarHCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1302(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1368(StarPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1373(AsteriskPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1378(LineCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1565(EventCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1748(CircleCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1768(EllipseCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1849(PatchCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1909(TriMesh)
        1    0.000    0.000    0.000    0.000 collections.py:1972(_MeshData)
        1    0.000    0.000    0.000    0.000 collections.py:2126(QuadMesh)
        1    0.000    0.000    0.000    0.000 collections.py:2239(PolyQuadMesh)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
        1    0.000    0.000    0.000    0.000 collections.py:961(_CollectionWithSizes)
        1    0.000    0.000    0.100    0.100 colorbar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:123(_ColorbarSpine)
        1    0.000    0.000    0.000    0.000 colorbar.py:146(_ColorbarAxesLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:195(Colorbar)
        1    0.000    0.000    0.025    0.025 colors.py:1(<module>)
       32    0.000    0.000    0.001    0.000 colors.py:1036(from_list)
       67    0.000    0.000    0.001    0.000 colors.py:1089(reversed)
       67    0.000    0.000    0.001    0.000 colors.py:1108(<dictcomp>)
      195    0.001    0.000    0.001    0.000 colors.py:1110(<listcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:1121(ListedColormap)
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
        1    0.000    0.000    0.000    0.000 colors.py:1216(Normalize)
        1    0.000    0.000    0.000    0.000 colors.py:134(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:1417(TwoSlopeNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1512(CenteredNorm)
        8    0.000    0.000    0.000    0.000 colors.py:1630(make_norm_from_scale)
        4    0.000    0.000    0.000    0.000 colors.py:1679(_make_norm_from_scale)
        4    0.000    0.000    0.000    0.000 colors.py:1697(Norm)
        1    0.000    0.000    0.000    0.000 colors.py:1796(FuncNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1840(SymLogNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1878(AsinhNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1910(PowerNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1991(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:2119(NoNorm)
