size,trial,num_steps,time (seconds)
50,0,100,1.6226184368133545
50,1,100,1.6235947608947754
50,2,100,1.6383750438690186
75,0,100,3.6880199909210205
75,1,100,3.6888434886932373
75,2,100,3.6755874156951904
100,0,100,6.545069932937622
100,1,100,6.616940021514893
100,2,100,6.594104290008545
